Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Cereal production (metric tons),AG.PRD.CREL.MT,Slovenia,SVN,..,496964,611690,580413,461462,653111,628408,642479,551216,600948,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Solomon Islands,SLB,925,4524,2777,2751,2759,2743,2728,2726,2732,2737,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Somalia,SOM,580925,392408,118873,385345,383243,244367,240537,142362,189677,274037,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,South Africa,ZAF,11558395,14549009,12928365,14556168,14154568,16617880,11910245,10197534,18863987,14971922,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,South Sudan,SSD,..,..,..,790000,898000,1270551,920000,825000,764000,745000,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Spain,ESP,18761569,24581639,22097143,17547278,25366791,20581146,20149310,24056790,16653669,24362945,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Sri Lanka,LKA,2578860,2896040,4038207,4054851,4837225,3625675,4016443,4672771,2584601,4208101,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,St. Vincent and the Grenadines,VCT,2511,600,691,854,575,857,775,866,1129,1030,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Sudan,SDN,..,..,..,3026000,5947000,8063900,4088600,8509000,5164789,8270000,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Suriname,SUR,196284,163695,235330,224156,262076,275938,268529,278166,289517,274001,..,..
